Полимер,[-C2HBrCl2O-],Полибромдихлорэтаналь,Полиальдегиды,191.836
Полимер,[-C2HBrF2O-],Полибромдифторэтаналь,Полиальдегиды,158.926
Полимер,[-C2HBr2ClO-],Полидибромхлорэтаналь,Полиальдегиды,236.287
Полимер,[-C2HBr2FO-],Полидибромфторэтаналь,Полиальдегиды,219.832
Полимер,[-C2HBr3O-],Политрибромэтаналь,Полиальдегиды,280.738
Полимер,[-C2HClF2O-],Полидифторхлорэтаналь,Полиальдегиды,114.475
Полимер,[-C2HCl2FO-],Полифтордихлорэтаналь,Полиальдегиды,130.930
Полимер,[-C2HF3O-],Политрифторэтаналь,Полиальдегиды,98.02
Полимер,[-C3H4Cl2O-],Полидихлорпропаналь,Полиальдегиды,126.966
Полимер,[-C4H7ClO-],Полиметилхлорпропаналь,Полиальдегиды,106.546
Полимер,[-C4H8O-],Полиметилпропаналь,Полиальдегиды,72.101
Полимер,[-C4H8O2-],Полиметилоксипропаналь,Полиальдегиды,88.1
Полимер,[-C16H10Si-],Полидифенилдиэтинилсилан,Полиорганосиланы,230.319
Полимер,[-C8H14O2-],Поли-н-бутилметакрилат,Полиакрилаты,142.186
Полимер,[-C8D14O2-],Поли-н-дейтеробутилметакрилат,Полиакрилаты,156.272
Полимер,[-C4H6O3-],Поли-пара-диоксанон,Полиэфиры,102.083
Полимер,[-C6H12-],Полигексен-1,Полиалкены,84.153
Полимер,[-C28H24 Ge2-],Поливинилендифенилгерман,Полиорганогерманы,505.639
Полимер,C28H24GeSi,Поливинилендифенилсилангерман,Полиорганосилангерманы,461.215
Мономер,C2H3Cl1,Винилхлорид,Виниловые и родственные,62.496
Полимер,C2H3Cl1,Поливинилхлорид,Виниловые и родственные,62.496
Полимер,C3H4O2,Поли-β-пропиолактон,Полилактоны,72.063
Полимер,C4H6N2O2,Полиглицин,Полиамиды,114.104
Полимер,C11H16Si1,Поливинилбензилдиметилсилан,Поливинилорганосиланы,176.334
Полимер,C24H36O6N6,Поли-2.4.6-(гексаметилен)изоцианурат,Полиизоцианаты,504.588
Полимер,C6H19Si1N1,Поли-n-(β-триметилсилилэтил)-триметиленимин,Полиимины,133.31
Полимер,C7H17Si1N1,Поли-n-(β-триметилсилилэтил)-этиленимин,Полиимины,143.305
Полимер,C2H5N1,Полиэтиленимин,Полиимины,43.069
Мономер,C7H5O1N1,Фенилцианат,Цианаты,119.123
Полимер,C21H15O3N3,Трифенилцианурат,Цианураты,357.369
Полимер,C21H15N3,1.3.5-Трифенил-симм-триазин,Циклотримеры,309.372
Мономер,C7H5N1,Бензонитрил,Нитрилы,103.124
Мономер,C7H5NO,Фенилизоцианат,Изоцианаты,119.123
Мономер,C13H10N2,Дифенилкарбодиимид,Карбодиимиды,194.237
Мономер,C8H6,Фенилацетилен,Ацетилены,102.136
Полимер,C23H17N1,2.4.6-Трифенилпиридин,Пиридины,307.396
Полимер,C39H30N6,Гексафенилмеламин,Меламины,582.711
Мономер,C16H12Ge1,Дифенилдиэтинилгерман,Органогерманы,276.902
Полимер,C16H10Ge1,Полидифенилдиэтинилгерман,Полиорганогерманы,274.886
Мономер,C32H22Ge1,2.3.4.5-Тетрафенил-1.1-диэтинил-1-гермациклопентадиен,Гермаацетилены,479.158
Полимер,C32H20Ge1,Поли-2.3.4.5-тетрафенил-1.1-диэтинил-1-гермациклопентадиен,Полигермаацетилены,477.142
Мономер,C18H16O2Si1,Дианизилдиэтинилсилан,Органосиланы,292.409
Полимер,C18H14O2Si1,Полидианизилдиэтинилсилан,Полиорганосиланы,290.393
Полимер,C4H8,Полибутен-1 (изотактический),Полиалкены,56.108
Мономер,C4H8,цис-Бутен-2,Алкены,56.108
Полимер,C3H6,Полипропилен,Полиалкены,42.081
Мономер,C5H10,Пентен-1,Алкены,70.135
