Id,Тип,Формула,Название,Класс
258,Мономер,C10H18O9N2,дикарбоновые кислоты,кислоты
259,Полимер,[-C7H12-],Полигептеномер,Полиалкеномеры
260,Полимер,C7H14Si1,полидиаллилметилсилан,полимер
261,Полимер,c12,G-1 (Und- Me),дендримеры
262,неизвестно,C4H3Cl3,"Поли-1,2,3-трихлорбутадиен",Полибутадиены
263,Мономер,C5H9N1O2,цикло(метилтриметиленуретан),Уретаны
264,Полимер,C5H9N1O2,поли(метилтриметиленуретан),Полиуретан
265,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
266,Полимер,"C5,5H10Si1",Фуллеренсодержащий поли(силдиметил)триметилен,Фуллериты
267,Полимер,C100,G-2(Und-MPhB),дендримеры
268,Мономер,C12H8O2,Диоксин,Диоксины
269,Мономер,C12H8O2Cl,Хлордиоксин,Диоксины
270,Мономер,C10Si1N1H15,Диметилфенилсилилэтиленимин,Имины
271,Полимер,с,Лактоглобулин,биополимер
272,Полимер,с,Альбумин,биополимер
273,Полимер,с,Миоглобин,биополимер
274,Полимер,c1,Триптофан,биополимер
275,Мономер,C12H8O2,Диоксин,Диоксины
276,Мономер,C12H8O2Cl,Хлордиоксин,Диоксины
277,Полимер,C11O3H8Cr1,Политрикарбонилхрома,Виниловые и родственные
278,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
279,Полимер,C8H8,Изотактический полистирол,Виниловые и родственные
280,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
281,Полимер,C8H8,Изотактический полистирол,Виниловые и родственные
282,Полимер,C8H8,Полистирол (синдиотактический),Виниловые и родственные
283,Полимер,C8H8,Полистирол,Виниловые и родственные
284,Полимер,C9H12O2,"Полибицикло[2,2,1]-гепт-2-ен-5-ацетат",Полинорборнены
285,Полимер,C1,метатезисный полинорборнен,Полинорборнены
286,Полимер,C2,fаддитивный полинорборнен,Полинорборнены
287,Полимер,C3,метатезисный полидициклопентадиен,Полинорборнены
288,Полимер,C4,аддитивный полинорборнен,Полинорборнены
289,Полимер,CH0.84Cl0.07O0.28,Альфа-карбин (Л-178),Карбиноидная структура
290,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
291,Полимер,C16H10Hg1,Дифенилацетилинид ртути,Координационные
292,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
293,Полимер,C4H3Cu,Винилацетиленид меди,Координационные
294,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
295,Полимер,C10H5Cu,Фенилэтинилацетиленид меди,Координационные
296,Полимер,C8H5Ag,Фенилацетиленид серебра,Координационные
297,Полимер,C6H9CU,Бутилацетиленид меди,Координационные
298,Мономер,C4N1,Триэтилимин,Х
299,Мономер,C1,Триэтилимин1,Х
300,Мономер,C4N1,Триэтилимин,Х
301,Мономер,C1,Триэтилимин1,Х
302,Полимер,C9H7Cu,бензилацетиленид меди,Координационные
303,Полимер,C10H5Cu,Фенилэтинилацетиленид меди,Координационные
304,Полимер,C8H5Ag,Фенилацетиленид серебра,Координационные
305,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
306,Полимер,C6H9CU,Бутилацетиленид меди,Координационные
307,Полимер,C9H7Cu,бензилацетиленид меди,Координационные
308,Полимер,C10H5Cu,Фенилэтинилацетиленид меди,Координационные
309,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
310,Полимер,C6H9CU,Бутилацетиленид меди,Координационные
311,Полимер,C8H5Ag,Фенилацетиленид серебра,Координационные
312,Полимер,C8H5Au1,Фенилацетиленид золота,Координационные
313,Полимер,C16H10Hg1,Дифенилацетилинид ртути,Координационные
314,Полимер,C4H3Cu,Винилацетиленид меди,Координационные
315,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
316,Полимер,C8H5Ag,Фенилацетиленид серебра,Координационные
317,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
318,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
319,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
320,Полимер,C6H11N1O2,PUR5,Полиуретан
321,Полимер,CH0.84Cl0.07O0.28,Альфа-карбин (Л-178),Карбиноидная структура
322,Полимер,C7H13N1O2,PUR6,Полиуретан
323,Полимер,CH0.84Cl0.07O0.28,Альфа-карбин (Л-178),Карбиноидная структура
324,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
325,Полимер,CH0.84Cl0.07O0.28,Альфа-карбин (Л-178),Карбиноидная структура
326,Полимер,C1H0.83Cl0.05O0.23,"Вета-карбин, Л-181",Карбиноидная структура
327,Полимер,C1,беташ-капбин,Карбиноидная структура
328,Полимер,C16H16O5Cr,сополимер метилметакрилата и стиролтрикарбонилхрома,сополимер
329,Полимер,C16,G-2(Und-All),дендримеры
330,Полимер,с,миоглобин,биополимеры
331,Полимер,C16H16O5Cr,сополимер метилметакрилата и стиролтрикарбонилхрома,сополимер
332,Полимер,C6H9CU,Бутилацетиленид меди,Координационные
333,Полимер,C8H13Cu1,Гексилацетиленид меди,Координационные
334,Полимер,C4H3Cu,Винилацетиленид меди,Координационные
335,Полимер,C10H5Cu,Фенилэтинилацетиленид меди,Координационные
336,Полимер,C9H7Cu,бензилацетиленид меди,Координационные
337,Полимер,C8H5Cu,Фенилацетиленид меди,Координационные
338,Полимер,C8H5Ag,Фенилацетиленид серебра,Координационные
339,Полимер,C8H5Au1,Фенилацетиленид золота,Координационные
340,Мономер,C1,Триэтилимин1,Х
341,Мономер,C1,Стиролтрикарбонилхром,Стиролы
342,Полимер,C10H6O1F10,полифторнорборнен-2,Полинорборнены
343,Полимер,c9h6f8,полифторнорборнен-1,ОШИБКА
344,Полимер,C10H6O1F10,полифторнорборнен-2,Полинорборнены
345,Мономер,C11H8O3Cr,стиролхромтрикарбонил,Виниловые и родственные
